key,label,n,is_mean,is_t,is_nw,is_trim,p_is,ho_mean,ho_t,ho_nw,ho_win,p_ho,wf_mean,wf_t,wf_win,wf_n,p_wf,boot_p5,boot_p50,boot_p95,p_leq_0,wf_trim,n_gates,VERDICT,gates
streak_USDCAD_H,streak USDCAD tier=H,244,-0.0002804093506112813,-0.4554020487385039,-0.4188445469074852,-0.0004255884831821399,0.6583416583416584,0.001186514561138769,3.6726381879090213,2.958389013734107,0.615819209039548,0.000999000999000999,0.0005758768922979157,,,7,0.03596403596403597,0.0001961382964778716,0.0005621452637187323,0.0009693471166971433,0.0032,0.00046688815925889274,4,FAIL,|t_is|>2; p_is<0.01
volman_USDCAD_H,vol-managed USDCAD tier=H,545,-0.0001509535203330659,-0.450694499792608,-0.41664839280655164,-0.0004000575626534904,0.7382617382617382,0.0006297983649565368,2.6515416211648755,2.359240940429926,0.5705882352941176,0.004995004995004995,0.0003377942908109394,,,9,0.03796203796203796,0.00013115532476368883,0.00032717513752199653,0.0005765998372474305,0.001,0.0002461158135013652,4,FAIL,|t_is|>2; p_is<0.01
news_EURUSD_1.0_3_H,news EURUSD thr=1.0 h=3 tier=H,281,-0.0015338752730281395,-2.239731552923305,-2.170523477233032,-0.001888503217900688,0.9820179820179821,0.0007706722499206201,1.136255197793932,0.9704345563329742,0.5782312925170068,0.1018981018981019,0.0004648051035995114,,,8,0.03896103896103896,2.0392432922694784e-05,0.0004444126706768166,0.0009946286995813805,0.0236,0.0002529294521963059,4,FAIL,p_is<0.01; ho NW t>2 & p<0.05
sizez_GBPUSD_0.5_H,size|z| GBPUSD thr=0.5 tier=H,545,-0.0012733232048637035,-1.802683663758893,-1.4403618380158796,-0.001510113794393097,1.0,0.0014255791508127964,2.942310123380361,2.407722865895614,0.5588235294117647,0.000999000999000999,0.0003713963762629011,,,9,0.04395604395604396,6.28051317436444e-05,0.0003713963762629011,0.000710348046951067,0.0268,0.00025961212403848054,4,FAIL,|t_is|>2; p_is<0.01
sizez_USDCAD_0.5_H,size|z| USDCAD thr=0.5 tier=H,545,-0.0007551325023745586,-0.9884443721572778,-0.8569124755665848,-0.001046919425513963,0.996003996003996,0.0009197857852058523,3.088038650910008,2.772572296789998,0.5676470588235294,0.000999000999000999,0.00031959480312964143,,,9,0.04895104895104895,7.742751746164827e-05,0.00030920247328053923,0.0005937169620947526,0.0058,0.00021747945798066868,4,FAIL,|t_is|>2; p_is<0.01
streak_GBPUSD_H,streak GBPUSD tier=H,244,-0.002273502521615895,-3.1685443200282637,-3.2636159646087513,-0.002993749040294741,0.998001998001998,0.0017727485649580098,3.7427478700508017,2.6937629224269424,0.5875706214689266,0.000999000999000999,0.0005071186121233192,,,7,0.06593406593406594,8.917766706933117e-05,0.0005071186121233192,0.0009688913768855793,0.0234,0.00032430075469053307,4,FAIL,p_is<0.01; wf>0 & p_wf<0.05
basket_0.5_1_HM,basket thr=0.5 h=1 tier=HM,2856,-6.627826082304253e-05,-0.6824761019185319,-0.6745113117688505,-8.642729323043466e-05,0.008991008991008992,0.000458162329360904,3.3472513776439516,2.578179718732394,0.5287260616153205,0.000999000999000999,0.00012429394895430726,1.5460946551293278,0.4,10,0.07492507492507493,4.317306402027841e-06,0.00011964326950211299,0.00025678971981453523,0.0432,9.83771093588386e-05,4,FAIL,|t_is|>2; wf>0 & p_wf<0.05
streak_AUDUSD_H,streak AUDUSD tier=H,244,-0.0018259033676652587,-2.2672836778936065,-2.247251210667698,-0.0013701427948948715,0.989010989010989,0.001952497966076282,3.394907795794901,2.445581575941317,0.5932203389830508,0.000999000999000999,0.00048223908548901504,,,7,0.0899100899100899,5.0553548968855083e-05,0.000482239085489015,0.0009510128694266486,0.0234,0.00031160558665007906,4,FAIL,p_is<0.01; wf>0 & p_wf<0.05
news_USDJPY_0.5_2_H,news USDJPY thr=0.5 h=2 tier=H,544,-0.001000810628754046,-2.048130144510121,-1.7604398437761393,-0.0007884604583726959,0.9820179820179821,0.0012658824261384681,2.6091612444183037,2.150343051819755,0.5457227138643068,0.005994005994005994,0.00046384977582081055,,,9,0.09290709290709291,5.807959300115121e-05,0.00045067706474232844,0.0009462473168244328,0.0302,0.000335517219153687,4,FAIL,p_is<0.01; wf>0 & p_wf<0.05
news_NZDUSD_0.5_1_H,news NZDUSD thr=0.5 h=1 tier=H,545,-0.0012406212711514265,-2.658404979445924,-2.315556042500608,-0.0009615821068564372,0.9920079920079921,0.0010556078357327418,2.534167553763683,2.0101395754811064,0.55,0.004995004995004995,0.00018912134062395362,,,9,0.1258741258741259,1.9053231615269517e-05,0.00018912134062395362,0.00037824268124790725,0.0268,0.00011929177484720384,4,FAIL,p_is<0.01; wf>0 & p_wf<0.05
basket_0.5_1_H,basket thr=0.5 h=1 tier=H,545,-0.0006531903573548647,-2.4213201681175556,-2.0512746116118974,-0.0005764938117744152,1.0,0.0008981912007768668,3.277920514789687,2.5775654573322653,0.5441176470588235,0.000999000999000999,0.00018690839983748976,,,9,0.13586413586413587,4.3871607540703246e-05,0.0001869083998374897,0.00034796302937418686,0.0268,0.0001367756808031815,4,FAIL,p_is<0.01; wf>0 & p_wf<0.05
