kind,key,commodity,months,label,mechanism,source,direction,sel_n,sel_mean,sel_t,n_hold,ho_mean,ho_t,win,p_mc,ho_h1,ho_h2,t212,net_mean_8%,net_t_8%,win_8%,net_mean_15%,net_t_15%,win_15%,net_mean_25%,net_t_25%,win_25%
named,RB_5-9,RB,05-09,Gasoline driving season,US summer road demand,EIA; AAA blend notes,-1,14,-0.08247172587673814,-1.402704239880106,11,-0.019234819011192176,-0.24144918393436077,0.36363636363636365,0.19880119880119881,0.04695128087130809,-0.07438990224660907,Y,0.009931847655474483,0.12467164416672499,0.36363636363636365,-0.019234819011192176,-0.24144918393436077,0.36363636363636365,-0.060901485677858844,-0.7644789383644834,0.36363636363636365
grid,OJ_7-7,OJ,07-07,OJ 07,single-month grid,grid,1,13,0.013093260716157006,0.5844892376497239,12,-0.006079185506300531,-0.2440610335260317,0.4166666666666667,0.15784215784215785,-0.019757104867994882,0.007598733855393822,?,-0.0002458521729672032,-0.009870226096375683,0.4166666666666667,-0.006079185506300531,-0.2440610335260317,0.4166666666666667,-0.014412518839633867,-0.5786193298541121,0.4166666666666667
grid,ZW_6-6,ZW,06-06,ZW 06,single-month grid,grid,-1,14,-0.03932597620265165,-1.18384929891708,12,-0.010387565583614013,-0.26197355471845746,0.5,0.33466533466533466,-0.06813604781632103,0.04736091664909301,Y,-0.004554232250280681,-0.11485736499238292,0.5,-0.010387565583614013,-0.26197355471845746,0.5,-0.01872089891694734,-0.47213954004142106,0.5
grid,ZM_12-12,ZM,12-12,ZM 12,single-month grid,grid,1,15,0.03056827725728332,1.5287231004361568,11,-0.007509224038684933,-0.26433045790095683,0.45454545454545453,0.1918081918081918,-0.04276997341362691,0.02187473377376672,N,-0.0016758907053515972,-0.05899264095137111,0.45454545454545453,-0.007509224038684933,-0.26433045790095683,0.45454545454545453,-0.015842557372018264,-0.5576701964003647,0.36363636363636365
grid,HO_2-2,HO,02-02,HO 02,single-month grid,grid,1,14,0.03137795126430211,1.120787704803111,12,-0.010638476909134685,-0.30503201978763805,0.3333333333333333,0.34965034965034963,0.01035621838823459,-0.03163317220650396,?,-0.00480514357580136,-0.13777561043891026,0.3333333333333333,-0.010638476909134685,-0.30503201978763805,0.3333333333333333,-0.018971810242468023,-0.5439697474286783,0.3333333333333333
grid,CT_9-9,CT,09-09,CT 09,single-month grid,grid,-1,15,-0.021361753799826112,-0.8020961976608727,11,-0.008710318840057164,-0.30686850753006983,0.45454545454545453,0.22977022977022976,-0.00415686846117945,-0.012504860822455263,Y,-0.0028769855067238377,-0.10135751226165123,0.45454545454545453,-0.008710318840057164,-0.30686850753006983,0.45454545454545453,-0.017043652173390496,-0.6004556436278109,0.2727272727272727
grid,LB_2-2,LB,02-02,LB 02,single-month grid,grid,1,14,0.010300139521630199,0.4234038074203755,9,-0.01731873784606082,-0.3147848792452219,0.5555555555555556,0.3946053946053946,0.006690324458683094,-0.036525987689855946,?,-0.011485404512727492,-0.2087583809373145,0.5555555555555556,-0.01731873784606082,-0.3147848792452219,0.5555555555555556,-0.025652071179394165,-0.4662513053993757,0.5555555555555556
grid,ZL_2-2,ZL,02-02,ZL 02,single-month grid,grid,1,14,0.05642244921267037,2.3539576368761517,12,-0.0072411236593506985,-0.3254460233000375,0.3333333333333333,0.24075924075924077,-0.03090264497943773,0.016420397660736323,Y,-0.0014077903260173742,-0.06327191535404608,0.3333333333333333,-0.0072411236593506985,-0.3254460233000375,0.3333333333333333,-0.015574456992684033,-0.6999804632228831,0.3333333333333333
named,HO_10-11,HO,10-11,HeatingOil build season,pre-winter distillate restock,EIA; MacroMicro,-1,15,-0.04173696421229763,-0.8855155289042353,11,-0.011583874662226238,-0.3290060967386287,0.36363636363636365,0.24275724275724275,0.012704882425537894,-0.03182450556869636,?,8.279200444042729e-05,0.0023514648609705585,0.36363636363636365,-0.011583874662226238,-0.3290060967386287,0.36363636363636365,-0.0282505413288929,-0.8023740418809132,0.36363636363636365
grid,OJ_10-10,OJ,10-10,OJ 10,single-month grid,grid,1,14,0.023354896914121397,0.6860528938217979,11,-0.01682361903619944,-0.33698770765475794,0.6363636363636364,0.35364635364635366,0.013675399697292173,-0.04223946798077579,?,-0.010990285702866117,-0.2201423592338059,0.6363636363636364,-0.01682361903619944,-0.33698770765475794,0.6363636363636364,-0.025156952369532783,-0.5039096339704041,0.5454545454545454
